"No.","Time","Source","Destination","Protocol","Length","Info","ACK RTT "
"330","8.643521588","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1 Ack=1 Win=4549 Len=0 TSval=1266380372 TSecr=2046860585",""
"345","8.852814900","151.101.38.214","rust-bucket.local","TCP","66","[TCP ACKed unseen segment] 443  >  43784 [ACK] Seq=1 Ack=2 Win=99 Len=0 TSval=2046872262 TSecr=1266149295",""
"419","9.882894416","rust-bucket.local","151.101.38.214","TLSv1.2","156","[TCP Previous segment not captured] , Application Data",""
"420","9.883713909","rust-bucket.local","151.101.38.214","TLSv1.2","112","Application Data",""
"421","9.908762450","rust-bucket.local","151.101.38.214","TLSv1.2","160","Application Data",""
"422","10.100226881","rust-bucket.local","151.101.38.214","TLSv1.2","109","Application Data",""
"423","10.121417971","151.101.38.214","rust-bucket.local","TCP","66","[TCP ACKed unseen segment] 443  >  43784 [ACK] Seq=1 Ack=232 Win=99 Len=0 TSval=2046872578 TSecr=1266381612","0.212655521"
"424","10.121491922","151.101.38.214","rust-bucket.local","TLSv1.2","112","Application Data",""
"425","10.121519322","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=47 Win=4549 Len=0 TSval=1266381850 TSecr=2046872578","0.000027400"
"426","10.130420069","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=47 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"427","10.130484032","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=1435 Win=4549 Len=0 TSval=1266381859 TSecr=2046872578","0.000063963"
"428","10.130658795","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=1435 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"429","10.130675295","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=2823 Win=4549 Len=0 TSval=1266381859 TSecr=2046872578","0.000016500"
"430","10.131350950","151.101.38.214","rust-bucket.local","TLSv1.2","78","Application Data",""
"431","10.131401900","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=2835 Win=4549 Len=0 TSval=1266381860 TSecr=2046872578","0.000050950"
"432","10.131472938","151.101.38.214","rust-bucket.local","TLSv1.2","2854","Application Data",""
"433","10.131485651","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=5623 Win=4528 Len=0 TSval=1266381860 TSecr=2046872578","0.000012713"
"434","10.131503988","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=5623 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"435","10.131523889","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=7011 Win=4518 Len=0 TSval=1266381860 TSecr=2046872578","0.000019901"
"436","10.131674302","151.101.38.214","rust-bucket.local","TLSv1.2","1466","Application Data",""
"437","10.131694652","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=8411 Win=4508 Len=0 TSval=1266381860 TSecr=2046872578","0.000020350"
"438","10.131859016","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=8411 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"439","10.131874416","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=9799 Win=4549 Len=0 TSval=1266381861 TSecr=2046872578","0.000015400"
"440","10.132148855","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=9799 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"441","10.132172568","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=11187 Win=4539 Len=0 TSval=1266381861 TSecr=2046872578","0.000023713"
"442","10.132242081","151.101.38.214","rust-bucket.local","TLSv1.2","78","Application Data",""
"443","10.132254393","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=11199 Win=4539 Len=0 TSval=1266381861 TSecr=2046872578","0.000012312"
"444","10.137118913","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=11199 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"445","10.137191526","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=12587 Win=4549 Len=0 TSval=1266381866 TSecr=2046872578","0.000072613"
"446","10.137319527","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=12587 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"447","10.137338189","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=13975 Win=4539 Len=0 TSval=1266381866 TSecr=2046872578","0.000018662"
"448","10.138184807","151.101.38.214","rust-bucket.local","TLSv1.2","78","Application Data",""
"449","10.138260295","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=13987 Win=4539 Len=0 TSval=1266381867 TSecr=2046872578","0.000075488"
"450","10.138308171","151.101.38.214","rust-bucket.local","TLSv1.2","2684","Application Data",""
"451","10.138320521","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=16605 Win=4519 Len=0 TSval=1266381867 TSecr=2046872578","0.000012350"
"452","10.138344558","151.101.38.214","rust-bucket.local","TLSv1.2","2854","Application Data",""
"453","10.138370059","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=19393 Win=4498 Len=0 TSval=1266381867 TSecr=2046872578","0.000025501"
"454","10.138563910","151.101.38.214","rust-bucket.local","TLSv1.2","2854","Application Data",""
"455","10.138585685","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=22181 Win=4477 Len=0 TSval=1266381867 TSecr=2046872578","0.000021775"
"456","10.139042763","151.101.38.214","rust-bucket.local","TCP","2842","443  >  43784 [ACK] Seq=22181 Ack=232 Win=99 Len=2776 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"457","10.139103788","151.101.38.214","rust-bucket.local","TLSv1.2","78","Application Data",""
"458","10.139407665","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=24969 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"459","10.140386897","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=26357 Win=4549 Len=0 TSval=1266381869 TSecr=2046872578","0.000979232"
"460","10.149855210","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=26357 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"461","10.149929310","151.101.38.214","rust-bucket.local","TLSv1.2","78","Application Data",""
"462","10.150043786","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=27757 Win=4549 Len=0 TSval=1266381879 TSecr=2046872578","0.000114476"
"463","10.151457820","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=27757 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"464","10.156988832","151.101.38.214","rust-bucket.local","TLSv1.2","1466","Application Data",""
"465","10.157041882","151.101.38.214","rust-bucket.local","TLSv1.2","417","Application Data",""
"466","10.159270835","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=30896 Win=4549 Len=0 TSval=1266381888 TSecr=2046872578","0.002228953"
"467","10.161463937","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=30896 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"468","10.161707601","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=32284 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"469","10.161830402","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=33672 Win=4549 Len=0 TSval=1266381891 TSecr=2046872578","0.000122801"
"470","10.162383743","151.101.38.214","rust-bucket.local","TCP","4230","443  >  43784 [ACK] Seq=33672 Ack=232 Win=99 Len=4164 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"471","10.162589219","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=37836 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"472","10.162881984","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=39224 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"473","10.163162623","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=40612 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"474","10.163858165","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=42000 Win=4549 Len=0 TSval=1266381893 TSecr=2046872578","0.000695542"
"475","10.167100337","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=42000 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"476","10.167375076","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=43388 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"477","10.167807666","151.101.38.214","rust-bucket.local","TLSv1.2","2599","Application Data",""
